Typical Measured Spectrum of Semrock LL02-561 Optical Filter	
For wavelengths between 320 and 1120 nm, values near or below 3e-7 (Optical Density 6.5) are measurement noise limited.
For wavelengths < 320 nm and > 1120 nm, values near or below 3e-6 (Optical Density 5.5) are measurement noise limited. 
Data format:  Wavelength (nm) <tab> Transmission (0 to 1)
386.6	0.1743
386.8	0.15219
387.0	0.13567
387.2	0.12324
387.4	0.11678
387.6	0.11293
387.8	0.11089
388.0	0.11159
388.2	0.11883
388.4	0.13083
388.6	0.14893
388.8	0.17607
389.0	0.2148
389.2	0.25748
389.4	0.31529
389.6	0.40389
389.8	0.49746
390.0	0.55871
390.2	0.55816
390.4	0.50338
390.6	0.42598
390.8	0.35508
391.0	0.29981
391.2	0.26048
391.4	0.23349
391.6	0.21607
391.8	0.2053
392.0	0.2128
392.2	0.22266
392.4	0.22075
392.6	0.21704
392.8	0.20847
393.0	0.19375
393.2	0.17524
393.4	0.15215
393.6	0.12907
393.8	0.10822
394.0	0.09162
394.2	0.07732
394.4	0.06684
394.6	0.0586
394.8	0.05089
395.0	0.04498
395.2	0.04162
395.4	0.03943
395.6	0.03811
395.8	0.03743
396.0	0.03776
396.2	0.03847
396.4	0.04018
396.6	0.0427
396.8	0.04589
397.0	0.04986
397.2	0.05511
397.4	0.06099
397.6	0.0688
397.8	0.07702
398.0	0.08499
398.2	0.0916
398.4	0.09851
398.6	0.1039
398.8	0.109
399.0	0.10736
399.2	0.10639
399.4	0.11385
399.6	0.12393
399.8	0.1403
400.0	0.16402
400.2	0.19806
400.4	0.25689
400.6	0.31979
400.8	0.33517
401.0	0.29222
401.2	0.21547
401.4	0.14682
401.6	0.09939
401.8	0.06894
402.0	0.04885
402.2	0.03651
402.4	0.02828
402.6	0.02251
402.8	0.0185
403.0	0.0155
403.2	0.01314
403.4	0.01128
403.6	0.01022
403.8	0.00945
404.0	0.00893
404.2	0.00856
404.4	0.00837
404.6	0.00823
404.8	0.00818
405.0	0.00828
405.2	0.00855
405.4	0.00875
405.6	0.00907
405.8	0.00943
406.0	0.00967
406.2	0.00987
406.4	0.01011
406.6	0.0103
406.8	0.01044
407.0	0.0106
407.2	0.01081
407.4	0.01166
407.6	0.01273
407.8	0.014
408.0	0.01597
408.2	0.01973
408.4	0.02614
408.6	0.03872
408.8	0.0705
409.0	0.17885
409.2	0.38594
409.4	0.22716
409.6	0.06712
409.8	0.02679
410.0	0.01417
410.2	0.00745
410.4	0.00394
410.6	0.00268
410.8	0.00191
411.0	0.00138
411.2	0.00108
411.4	8.4041e-04
411.6	6.8444e-04
411.8	5.4741e-04
412.0	4.5944e-04
412.2	4.0203e-04
412.4	3.5292e-04
412.6	3.1482e-04
412.8	2.7882e-04
413.0	2.5927e-04
413.2	2.3287e-04
413.4	2.0896e-04
413.6	1.9464e-04
413.8	1.8343e-04
414.0	1.7033e-04
414.2	1.4999e-04
414.4	1.459e-04
414.6	1.3398e-04
414.8	1.1664e-04
415.0	1.0284e-04
415.2	8.4452e-05
415.4	7.7375e-05
415.6	6.6136e-05
415.8	5.5763e-05
416.0	4.8986e-05
416.2	4.5139e-05
416.4	3.7932e-05
416.6	2.8813e-05
416.8	2.4928e-05
417.0	2.5894e-05
417.2	1.9766e-05
417.4	1.7182e-05
417.6	1.8082e-05
417.8	1.2289e-05
418.0	1.4665e-05
418.2	1.207e-05
418.4	1.0011e-05
418.6	8.1287e-06
418.8	7.4057e-06
419.0	8.5563e-06
419.2	6.1072e-06
419.4	8.5403e-06
419.6	7.4314e-06
419.8	6.5159e-06
420.0	7.5827e-06
420.2	7.5988e-06
420.4	6.3485e-06
420.6	5.729e-06
420.8	4.4974e-06
421.0	6.6294e-06
421.2	7.6457e-06
421.4	5.5337e-06
421.6	4.8437e-06
421.8	6.3905e-06
422.0	7.3833e-06
422.2	7.0036e-06
422.4	4.5445e-06
422.6	5.5816e-06
422.8	3.9752e-06
423.0	4.6818e-06
423.2	4.3127e-06
423.4	7.7005e-06
423.6	2.9411e-06
423.8	4.5333e-06
424.0	1.3135e-06
424.2	1.8725e-06
424.4	3.1427e-06
424.6	2.2398e-06
424.8	7.322e-07
425.0	1.3435e-06
425.2	9.274e-07
425.4	1.2235e-06
425.6	1.6439e-06
425.8	6.2138e-07
426.0	6.1624e-07
426.2	2.0419e-06
426.4	2.055e-06
426.6	1.4322e-06
426.8	6.0622e-07
427.0	1.6378e-06
427.2	7.2138e-07
427.4	1.1841e-06
427.6	1.2168e-06
427.8	1.0028e-06
428.0	6.0376e-07
428.2	6.023e-07
428.4	7.3798e-07
428.6	1.5318e-06
428.8	1.2984e-06
429.0	6.0402e-07
429.2	6.0166e-07
429.4	6.0032e-07
429.6	5.9942e-07
429.8	9.5765e-07
430.0	1.3049e-06
430.2	1.2102e-06
430.4	6.0108e-07
430.6	7.6798e-07
430.8	5.9811e-07
431.0	6.1657e-07
431.2	1.4119e-06
431.4	1.101e-06
431.6	1.8654e-06
431.8	5.9934e-07
432.0	7.2105e-07
432.2	9.6031e-07
432.4	5.9433e-07
432.6	6.1148e-07
432.8	6.0714e-07
433.0	1.0017e-06
433.2	1.1962e-06
433.4	5.9574e-07
433.6	1.1224e-06
433.8	6.4506e-07
434.0	5.9329e-07
434.2	5.9659e-07
434.4	1.2696e-06
434.6	5.9325e-07
434.8	5.9253e-07
435.0	4.3966e-07
435.2	4.6084e-07
435.4	6.2623e-07
435.6	5.3473e-07
435.8	8.6692e-07
436.0	4.3258e-07
436.2	5.446e-07
436.4	4.3194e-07
436.6	4.2914e-07
436.8	4.2903e-07
437.0	8.6556e-07
437.2	1.1501e-06
437.4	4.2511e-07
437.6	4.2424e-07
437.8	4.6397e-07
438.0	4.2415e-07
438.2	4.2411e-07
438.4	4.2342e-07
438.6	4.2215e-07
438.8	4.2081e-07
439.0	4.193e-07
439.2	1.3554e-06
439.4	7.8782e-07
439.6	1.3598e-06
439.8	4.1619e-07
440.0	1.1829e-06
440.2	4.1432e-07
440.4	4.7175e-07
440.6	4.1334e-07
440.8	4.1396e-07
441.0	4.1315e-07
441.2	6.5896e-07
441.4	4.1093e-07
441.6	4.3109e-07
441.8	4.0878e-07
442.0	7.2754e-07
442.2	1.1268e-06
442.4	7.7117e-07
442.6	4.1509e-07
442.8	5.8249e-07
443.0	4.0294e-07
443.2	7.5248e-07
443.4	4.0145e-07
443.6	4.8307e-07
443.8	4.0262e-07
444.0	7.817e-07
444.2	4.0003e-07
444.4	3.9883e-07
444.6	6.6374e-07
444.8	3.9733e-07
445.0	5.8415e-07
445.2	3.9274e-07
445.4	3.9204e-07
445.6	3.9056e-07
445.8	3.8977e-07
446.0	3.8866e-07
446.2	3.8777e-07
446.4	3.8743e-07
446.6	3.8609e-07
446.8	3.8547e-07
447.0	3.8393e-07
447.2	3.8307e-07
447.4	3.818e-07
447.6	3.8084e-07
447.8	3.8081e-07
448.0	1.3744e-06
448.2	6.2346e-07
448.4	4.2408e-07
448.6	1.0412e-06
448.8	3.7547e-07
449.0	3.7429e-07
449.2	5.4624e-07
449.4	3.7448e-07
449.6	3.7386e-07
449.8	7.2053e-07
450.0	3.7108e-07
450.2	3.6997e-07
450.4	6.3571e-07
450.6	3.6805e-07
450.8	5.8036e-07
451.0	3.6649e-07
451.2	3.6463e-07
451.4	3.635e-07
451.6	3.6221e-07
451.8	4.2586e-07
452.0	3.6039e-07
452.2	3.6224e-07
452.4	3.6055e-07
452.6	3.5919e-07
452.8	6.1209e-07
453.0	3.5672e-07
453.2	3.5605e-07
453.4	3.5553e-07
453.6	3.5526e-07
453.8	3.5422e-07
454.0	3.5261e-07
454.2	3.5116e-07
454.4	3.4993e-07
454.6	3.491e-07
454.8	6.9107e-07
455.0	4.4592e-07
455.2	3.4549e-07
455.4	3.4491e-07
455.6	3.4305e-07
455.8	3.4201e-07
456.0	3.408e-07
456.2	3.4024e-07
456.4	3.3958e-07
456.6	3.3991e-07
456.8	3.3904e-07
457.0	3.3784e-07
457.2	5.7681e-07
457.4	3.3601e-07
457.6	3.3503e-07
457.8	3.3455e-07
458.0	3.321e-07
458.2	3.316e-07
458.4	3.2978e-07
458.6	3.2911e-07
458.8	4.5944e-07
459.0	3.2721e-07
459.2	3.2641e-07
459.4	3.2727e-07
459.6	3.2591e-07
459.8	3.2463e-07
460.0	3.8235e-07
460.2	5.8487e-07
460.4	3.2211e-07
460.6	3.2159e-07
460.8	3.2246e-07
461.0	3.2119e-07
461.2	3.1955e-07
461.4	4.1566e-07
461.6	3.178e-07
461.8	8.1389e-07
462.0	6.1258e-07
462.2	3.1782e-07
462.4	5.0258e-07
462.6	3.1549e-07
462.8	3.1465e-07
463.0	3.1342e-07
463.2	3.1246e-07
463.4	3.1136e-07
463.6	3.7819e-07
463.8	3.2801e-07
464.0	4.5461e-07
464.2	3.0999e-07
464.4	3.0846e-07
464.6	6.0494e-07
464.8	3.0649e-07
465.0	4.1698e-07
465.2	3.0221e-07
465.4	6.1111e-07
465.6	3.0037e-07
465.8	2.9886e-07
466.0	5.9647e-07
466.2	4.2406e-07
466.4	5.9291e-07
466.6	8.9035e-07
466.8	4.7447e-07
467.0	2.9507e-07
467.2	2.9408e-07
467.4	2.9293e-07
467.6	3.2426e-07
467.8	2.9146e-07
468.0	3.5512e-07
468.2	2.9089e-07
468.4	2.8999e-07
468.6	2.96e-07
468.8	2.8761e-07
469.0	6.3699e-07
469.2	5.7201e-07
469.4	1.6977e-07
469.6	3.4268e-07
469.8	1.2296e-07
470.0	2.6142e-07
470.2	2.4408e-07
470.4	1.777e-07
470.6	1.2134e-07
470.8	1.2146e-07
471.0	2.0156e-07
471.2	2.2145e-07
471.4	1.6945e-07
471.6	1.4053e-07
471.8	1.1881e-07
472.0	2.4021e-07
472.2	1.2476e-07
472.4	1.182e-07
472.6	1.1756e-07
472.8	1.1719e-07
473.0	2.0435e-07
473.2	2.3766e-07
473.4	1.1583e-07
473.6	1.2425e-07
473.8	1.5585e-07
474.0	2.2945e-07
474.2	1.1428e-07
474.4	1.1375e-07
474.6	1.1327e-07
474.8	1.289e-07
475.0	1.8448e-07
475.2	1.1435e-07
475.4	1.1194e-07
475.6	1.8605e-07
475.8	1.3086e-07
476.0	1.5699e-07
476.2	1.0987e-07
476.4	2.0551e-07
476.6	1.0966e-07
476.8	1.9282e-07
477.0	1.0868e-07
477.2	2.074e-07
477.4	1.077e-07
477.6	1.0742e-07
477.8	1.2445e-07
478.0	1.5225e-07
478.2	1.0635e-07
478.4	1.7502e-07
478.6	1.0518e-07
478.8	2.0276e-07
479.0	1.5524e-07
479.2	1.188e-07
479.4	1.0416e-07
479.6	1.036e-07
479.8	1.0307e-07
480.0	1.0272e-07
480.2	1.0226e-07
480.4	1.0169e-07
480.6	2.7995e-07
480.8	1.0122e-07
481.0	1.0076e-07
481.2	1.0011e-07
481.4	9.9982e-08
481.6	9.9367e-08
481.8	1.0924e-07
482.0	1.4035e-07
482.2	9.8495e-08
482.4	1.4096e-07
482.6	2.1916e-07
482.8	9.7153e-08
483.0	9.6634e-08
483.2	2.1659e-07
483.4	9.599e-08
483.6	9.5934e-08
483.8	9.5431e-08
484.0	9.4631e-08
484.2	1.4964e-07
484.4	9.9013e-08
484.6	9.35e-08
484.8	1.1473e-07
485.0	9.306e-08
485.2	9.2526e-08
485.4	9.2099e-08
485.6	9.1554e-08
485.8	9.1146e-08
486.0	9.0744e-08
486.2	2.1297e-07
486.4	9.0357e-08
486.6	1.5556e-07
486.8	1.0534e-07
487.0	2.3879e-07
487.2	8.8384e-08
487.4	3.4326e-07
487.6	1.3844e-07
487.8	1.1129e-07
488.0	2.1137e-07
488.2	1.6443e-07
488.4	8.6402e-08
488.6	2.8456e-07
488.8	2.3021e-07
489.0	5.131e-07
489.2	2.0964e-07
489.4	2.5361e-07
489.6	2.5848e-07
489.8	2.8543e-07
490.0	1.0327e-07
490.2	1.2022e-07
490.4	2.3937e-07
490.6	2.602e-07
490.8	1.9212e-07
491.0	4.3696e-07
491.2	2.2217e-07
491.4	5.4314e-07
491.6	8.0519e-08
