Wavelength	 Transmission
681	1.22E-08
681.5	9.77E-08
682	1.83E-07
682.5	6.76E-07
683	1.17E-06
683.5	6.38E-06
684	1.16E-05
684.5	1.05E-05
685	9.43E-06
685.5	5.07E-06
686	7.20E-07
686.5	6.31E-07
687	5.41E-07
687.5	2.42E-07
688	1.00E-10
688.5	2.92E-08
689	1.14E-07
689.5	1.82E-08
690	1.00E-10
690.5	3.03E-08
691	1.39E-07
691.5	7.51E-08
692	1.17E-08
692.5	1.03E-07
693	1.95E-07
693.5	1.54E-07
694	1.13E-07
694.5	7.44E-08
695	3.60E-08
695.5	6.06E-07
696	1.18E-06
696.5	5.96E-06
697	1.07E-05
697.5	1.09E-05
698	1.11E-05
698.5	5.98E-06
699	8.86E-07
699.5	8.32E-07
700	7.79E-07
700.5	4.36E-07
701	9.32E-08
701.5	7.73E-08
702	6.14E-08
702.5	7.40E-09
703	1.00E-10
703.5	2.04E-07
704	4.55E-07
704.5	2.89E-07
705	1.23E-07
705.5	7.18E-08
706	2.10E-08
706.5	1.39E-07
707	2.56E-07
707.5	1.51E-07
708	4.50E-08
708.5	2.96E-07
709	5.46E-07
709.5	3.26E-07
710	1.05E-07
710.5	8.39E-08
711	6.24E-08
711.5	1.47E-07
712	2.31E-07
712.5	2.01E-07
713	1.70E-07
713.5	5.20E-07
714	8.71E-07
714.5	5.49E-07
715	2.26E-07
715.5	2.96E-07
716	3.66E-07
716.5	9.39E-07
717	1.51E-06
717.5	2.57E-06
718	3.62E-06
718.5	8.42E-06
719	1.32E-05
719.5	4.66E-05
720	8.00E-05
720.5	0.000124882
721	0.000169796
721.5	0.00011638
722	6.30E-05
722.5	4.56E-05
723	2.82E-05
723.5	2.58E-05
724	2.35E-05
724.5	2.50E-05
725	2.66E-05
725.5	3.36E-05
726	4.05E-05
726.5	7.45E-05
727	0.000108538
727.5	0.000209655
728	0.000310771
728.5	0.000260539
729	0.000210306
729.5	0.000131695
730	5.31E-05
730.5	3.65E-05
731	2.00E-05
731.5	1.54E-05
732	1.09E-05
732.5	8.42E-06
733	5.98E-06
733.5	5.35E-06
734	4.72E-06
734.5	4.36E-06
735	4.01E-06
735.5	3.34E-06
736	2.67E-06
736.5	2.47E-06
737	2.28E-06
737.5	2.07E-06
738	1.85E-06
738.5	1.82E-06
739	1.78E-06
739.5	2.25E-06
740	2.71E-06
740.5	1.86E-06
741	1.02E-06
741.5	1.90E-06
742	2.79E-06
742.5	2.09E-06
743	1.39E-06
743.5	1.35E-06
744	1.31E-06
744.5	2.89E-06
745	4.47E-06
745.5	5.62E-06
746	6.77E-06
746.5	7.63E-06
747	8.48E-06
747.5	1.00E-05
748	1.15E-05
748.5	1.60E-05
749	2.05E-05
749.5	2.35E-05
750	2.66E-05
750.5	2.88E-05
751	3.11E-05
751.5	3.15E-05
752	3.19E-05
752.5	3.27E-05
753	3.34E-05
753.5	3.93E-05
754	4.52E-05
754.5	6.46E-05
755	8.40E-05
755.5	0.000135346
756	0.000186662
756.5	0.000184751
757	0.00018284
757.5	0.000121197
758	5.96E-05
758.5	4.10E-05
759	2.24E-05
759.5	1.54E-05
760	8.32E-06
760.5	6.76E-06
761	5.19E-06
761.5	4.25E-06
762	3.31E-06
762.5	2.96E-06
763	2.62E-06
763.5	2.70E-06
764	2.78E-06
764.5	1.90E-06
765	1.01E-06
765.5	1.32E-06
766	1.62E-06
766.5	9.99E-07
767	3.82E-07
767.5	4.18E-07
768	4.55E-07
768.5	7.73E-07
769	1.09E-06
769.5	6.62E-07
770	2.34E-07
770.5	1.97E-07
771	1.61E-07
771.5	1.03E-06
772	1.90E-06
772.5	1.39E-06
773	8.87E-07
773.5	9.43E-07
774	9.98E-07
774.5	1.16E-06
775	1.32E-06
775.5	1.13E-06
776	9.34E-07
776.5	1.45E-06
777	1.96E-06
777.5	1.06E-06
778	1.56E-07
778.5	5.64E-07
779	9.72E-07
779.5	9.27E-07
780	8.82E-07
780.5	1.71E-06
781	2.54E-06
781.5	2.30E-06
782	2.06E-06
782.5	2.28E-06
783	2.49E-06
783.5	3.03E-06
784	3.56E-06
784.5	5.33E-06
785	7.09E-06
785.5	8.54E-06
786	1.00E-05
786.5	1.23E-05
787	1.45E-05
787.5	1.85E-05
788	2.26E-05
788.5	3.58E-05
789	4.91E-05
789.5	9.48E-05
790	0.000140416
790.5	0.000296483
791	0.00045255
791.5	0.000784235
792	0.00111592
792.5	0.000989949
793	0.000863978
793.5	0.000622235
794	0.000380492
794.5	0.000311502
795	0.000242512
795.5	0.000216931
796	0.00019135
796.5	0.000176545
797	0.000161739
797.5	0.000163879
798	0.00016602
798.5	0.000175123
799	0.000184227
799.5	0.000938163
800	0.0016921
800.5	0.0019705
801	0.00224889
801.5	0.00256611
802	0.00288333
802.5	0.00323846
803	0.0035936
803.5	0.00397924
804	0.00436488
804.5	0.00478966
805	0.00521443
805.5	0.0057049
806	0.00619538
806.5	0.00673174
807	0.00726811
807.5	0.00789521
808	0.00852231
808.5	0.00935255
809	0.0101828
809.5	0.0114392
810	0.0126955
810.5	0.0144677
811	0.0162399
811.5	0.018345
812	0.0204501
812.5	0.0227559
813	0.0250617
813.5	0.027504699
814	0.029947599
814.5	0.0324043
815	0.034861099
815.5	0.037886199
816	0.040911298
816.5	0.044667099
817	0.048422799
817.5	0.052629501
818	0.056836199
818.5	0.060370799
819	0.063905403
819.5	0.0654433
820	0.066981196
820.5	0.065876402
821	0.064771697
821.5	0.062025301
822	0.059278902
822.5	0.0560694
823	0.052859999
823.5	0.0498893
824	0.0469185
824.5	0.0442768
825	0.041634999
825.5	0.039465401
826	0.0372959
826.5	0.035725199
827	0.0341544
827.5	0.0331291
828	0.032103799
828.5	0.0318655
829	0.0316271
829.5	0.032321699
830	0.033016302
830.5	0.035146002
831	0.037275702
831.5	0.040309101
832	0.043342501
832.5	0.047559001
833	0.0517755
833.5	0.057077199
834	0.062378801
834.5	0.072104603
835	0.0818303
835.5	0.100841001
836	0.119851001
836.5	0.156584993
837	0.193320006
837.5	0.253836006
838	0.314352006
838.5	0.371899009
839	0.429446995
839.5	0.422935009
840	0.416422993
840.5	0.36857301
841	0.320722997
841.5	0.276587993
842	0.232454002
842.5	0.200470999
843	0.168486997
843.5	0.146659002
844	0.124830998
844.5	0.110719003
845	0.096607603
845.5	0.087750897
846	0.078894302
846.5	0.074436799
847	0.069979303
847.5	0.069218598
848	0.068457797
848.5	0.070311897
849	0.0721661
849.5	0.076673597
850	0.081181102
850.5	0.088790298
851	0.096399397
851.5	0.108971
852	0.121541999
852.5	0.142712995
853	0.163883001
853.5	0.198810995
854	0.233738005
854.5	0.28422299
855	0.334706992
855.5	0.378675014
856	0.422641993
856.5	0.421956003
857	0.421270013
857.5	0.382001996
858	0.342734009
858.5	0.299890012
859	0.257046014
859.5	0.224087
860	0.191128001
860.5	0.169980004
861	0.148833007
861.5	0.135832995
862	0.122832999
862.5	0.116774
863	0.110714003
863.5	0.110280998
864	0.109848998
864.5	0.114500001
865	0.119151004
865.5	0.129403993
866	0.139657006
866.5	0.160762995
867	0.181868002
867.5	0.222325996
868	0.262784004
868.5	0.347779006
869	0.432774007
869.5	0.568226993
870	0.703679979
870.5	0.783033013
871	0.862387002
871.5	0.77542901
872	0.688471973
872.5	0.57208401
873	0.455695987
873.5	0.378223985
874	0.300752014
874.5	0.25782901
875	0.214907005
875.5	0.194069996
876	0.173232004
876.5	0.165374994
877	0.157517999
877.5	0.159676999
878	0.161835998
878.5	0.175481007
879	0.189126998
879.5	0.224038005
880	0.258949995
880.5	0.338712007
881	0.418473989
881.5	0.55675602
882	0.695038974
882.5	0.70372498
883	0.712410986
883.5	0.587669015
884	0.462927997
884.5	0.358886003
885	0.25484401
885.5	0.199928001
886	0.145012006
886.5	0.116889998
887	0.088768803
887.5	0.072898202
888	0.057027701
888.5	0.048234601
889	0.0394416
889.5	0.034072101
890	0.028702701
890.5	0.0257765
891	0.022850299
891.5	0.019922899
892	0.016995501
892.5	0.0151785
893	0.0133614
893.5	0.0122323
894	0.0111032
894.5	0.0104363
895	0.00976931
895.5	0.00940652
896	0.00904372
896.5	0.00886909
897	0.00869445
897.5	0.00868995
898	0.00868546
898.5	0.00884474
899	0.00900401
899.5	0.00931427
900	0.00962452
900.5	0.0101
901	0.0105754
901.5	0.0112209
902	0.0118664
902.5	0.0126636
903	0.0134608
903.5	0.0143524
904	0.015244
904.5	0.0162015
905	0.017159
905.5	0.018165
906	0.019171
906.5	0.019916801
907	0.0206625
907.5	0.0209351
908	0.0212077
908.5	0.0208223
909	0.0204369
909.5	0.0194802
910	0.018523499
910.5	0.0174374
911	0.016351201
911.5	0.0151684
912	0.0139855
912.5	0.0127262
913	0.0114668
913.5	0.0103739
914	0.00928104
914.5	0.00837719
915	0.00747334
915.5	0.00677601
916	0.00607867
916.5	0.00558475
917	0.00509082
