Wavelength (nm)	%T
803.5	0.002440871
803	0.000943372
802.5	0.000743296
802	0.001385101
801.5	0.00171336
801	0.00227761
800.5	0.001055805
800	0.001124761
799.5	0.000699435
799	0.001138336
798.5	0.001214801
798	0.000973054
797.5	0.001327293
797	0.000882411
796.5	0.001067859
796	0.000853059
795.5	0.000788315
795	0.001373627
794.5	0.001059471
794	0.000888547
793.5	0.001085321
793	0.00073171
792.5	0.001019717
792	0.000970726
791.5	0.000904032
791	0.000998036
790.5	0.000851142
790	0.000576009
789.5	0.001053625
789	0.000943251
788.5	0.000715476
788	0.000866466
787.5	0.000544728
787	0.0011056
786.5	0.000407105
786	0.000853263
785.5	0.000592328
785	0.00063014
784.5	0.000482875
784	0.000530329
783.5	0.000322815
783	0.00072958
782.5	0.000389203
782	0.000459068
781.5	0.000757842
781	0.000654451
780.5	0.000631487
780	0.000538492
779.5	0.000589502
779	0.000594986
778.5	0.000561419
778	0.000400657
777.5	0.000558326
777	0.000605794
776.5	0.000490856
776	0.000494371
775.5	0.000709427
775	0.000478143
774.5	0.00050622
774	0.00043334
773.5	0.000654752
773	0.000612702
772.5	0.000660966
772	0.000535824
771.5	0.000574929
771	0.000759837
770.5	0.000883449
770	0.00074278
769.5	0.000786377
769	0.000664308
768.5	0.000598411
768	0.001180045
767.5	0.000882072
767	0.001060446
766.5	0.001047496
766	0.000960298
765.5	0.001097584
765	0.000772351
764.5	0.000800019
764	0.001012013
763.5	0.000747407
763	0.000344299
762.5	0.000652051
762	0.000663642
761.5	0.000416732
761	0.00066554
760.5	0.000673349
760	0.000371481
759.5	0.000408669
759	0.000535251
758.5	0.000752837
758	0.000699844
757.5	0.000429588
757	0.000626198
756.5	0.000626372
756	0.000889587
755.5	0.000788961
755	0.000528307
754.5	0.000665951
754	0.000713142
753.5	0.000692841
753	0.000613482
752.5	0.000572853
752	0.000554096
751.5	0.000255064
751	0.000641005
750.5	0.000188592
750	0.000605213
749.5	0.000355938
749	0.000416036
748.5	0.000320371
748	0.000620303
747.5	0.000277418
747	0.000577011
746.5	0.000428121
746	0.00035635
745.5	0.000642469
745	0.000447284
744.5	0.000404105
744	0.000296525
743.5	0.000670974
743	0.000417501
742.5	0.000534181
742	0.000453628
741.5	0.000424353
741	0.000517085
740.5	0.000712978
740	0.000633656
739.5	0.000880336
739	0.000975643
738.5	0.001193437
738	0.001457886
737.5	0.001897613
737	0.001778325
736.5	0.001378356
736	0.000814888
735.5	0.001220285
735	0.000562244
734.5	0.000273952
734	0.00071402
733.5	0.000662838
733	0.000311674
732.5	0.000493068
732	0.000597052
731.5	-7.61E-05
731	0.000440629
730.5	0.00053296
730	-5.61E-05
729.5	0.000400536
729	0.000544818
728.5	0.000401066
728	0.000328835
727.5	0.000453074
727	0.00057111
726.5	0.000279893
726	0.000383998
725.5	0.000392837
725	0.000400973
724.5	0.000247956
724	0.000408588
723.5	0.00037651
723	0.000443287
722.5	0.000488049
722	0.00024882
721.5	0.000136769
721	0.000359553
720.5	0.000200828
720	0.00023837
719.5	0.00049901
719	0.000524548
718.5	0.000497796
718	0.0004791
717.5	0.000462582
717	0.00060597
716.5	0.000742445
716	0.000431845
715.5	0.000549533
715	0.00044357
714.5	0.000583062
714	0.000272496
713.5	0.000412037
713	0.000411669
712.5	0.000182936
712	0.00052636
711.5	0.000311426
711	0.00038586
710.5	0.00031141
710	0.000822363
709.5	-2.90E-05
709	0.000387826
708.5	0.000539531
708	0.00042983
707.5	4.16E-05
707	0.00048442
706.5	0.000878985
706	7.21E-05
705.5	0.000630709
705	0.000375757
704.5	0.00043039
704	0.000459633
703.5	0.000603165
703	0.000338952
702.5	0.000430726
702	0.000627229
701.5	0.000430655
701	0.000300433
700.5	0.000406775
700	0.00063055
699.5	5.70E-05
699	0.000591155
698.5	0.000394477
698	0.000162769
697.5	0.000337092
697	0.000256423
696.5	0.000537681
696	4.63E-05
695.5	0.000206179
695	0.000260296
694.5	0.000468894
694	0.000366917
693.5	0.000231514
693	0.000205352
692.5	0.000173543
692	0.000105544
691.5	0.000329307
691	0.000530327
690.5	0.000267156
690	7.00E-05
689.5	0.000366495
689	0.000347631
688.5	-3.21E-05
688	0.000216432
687.5	0.000303823
687	0.000191479
686.5	0.000294749
686	0.000251552
685.5	0.000228754
685	0.000371138
684.5	0.000412475
684	6.47E-05
683.5	0.000597789
683	2.62E-05
682.5	2.11E-05
682	0.000286709
681.5	0.000366493
681	0.000285683
680.5	9.30E-06
680	0.000250248
679.5	-5.17E-07
679	0.000166998
678.5	0.000295044
678	0.000345644
677.5	-0.000112909
677	0.000308012
676.5	0.000425678
676	0.000289569
675.5	5.16E-05
675	-5.37E-06
674.5	0.000177608
674	0.000334903
673.5	0.000174383
673	0.000286076
672.5	6.76E-05
672	0.000262288
671.5	0.000274805
671	0.000241884
670.5	0.00034333
670	0.000169212
669.5	0.000143458
669	0.000137967
668.5	0.000254264
668	0.000269729
667.5	0.000303367
667	-9.06E-05
666.5	6.59E-05
666	0.000100088
665.5	0.00047038
665	0.000261415
664.5	0.000230253
664	0.000286548
663.5	0.000294339
663	0.000121105
662.5	0.000394189
662	0.000197653
661.5	0.000238986
661	0.000713863
660.5	5.57E-05
660	0.000407234
659.5	0.000136456
659	0.000418319
658.5	0.000187573
658	6.63E-06
657.5	0.00022322
657	0.000237025
656.5	0.000113547
656	0.000437921
655.5	0.000166715
655	5.26E-05
654.5	0.000190523
654	0.000329173
653.5	0.000150174
653	0.000210092
652.5	0.000312579
652	0.000154273
651.5	0.000309088
651	0.000186928
650.5	0.00028306
650	0.000222814
649.5	0.000209743
649	0.000159217
648.5	0.000138576
648	0.000264723
647.5	0.00019909
647	0.000220642
646.5	0.000307435
646	0.000149194
645.5	0.000272829
645	0.000349015
644.5	0.000272677
644	0.000113237
643.5	0.000227683
643	0.000307536
642.5	0.000134902
642	0.000314699
641.5	0.000535375
641	0.000742088
640.5	-2.28E-05
640	0.00031185
639.5	0.000245607
639	3.64E-05
638.5	0.000319171
638	0.000325943
637.5	4.45E-05
637	0.000266686
636.5	0.000184727
636	0.000300459
635.5	0.000288266
635	0.000309082
634.5	0.000200523
634	0.000139021
633.5	0.000266205
633	2.61E-05
632.5	0.000256682
632	0.000244723
631.5	0.00035272
631	7.80E-05
630.5	0.00028313
630	9.72E-05
629.5	0.000152361
629	0.000206097
628.5	0.000404879
628	0.000239202
627.5	0.00027276
627	0.000336246
626.5	1.20E-05
626	0.00018007
625.5	0.000218323
625	0.000210417
624.5	0.000134528
624	0.000415966
623.5	0.0002233
623	0.000411727
622.5	0.000228251
622	0.000316228
621.5	0.000244354
621	0.000229685
620.5	7.00E-05
620	0.000164794
619.5	0.000274669
619	0.000190899
618.5	7.85E-06
618	0.000328015
617.5	0.0003054
617	0.000267973
616.5	0.000168054
616	0.000222222
615.5	0.000258885
615	1.86E-05
614.5	0.000333315
614	0.000333228
613.5	9.97E-05
613	0.000272333
612.5	0.000384796
612	0.000397866
611.5	0.000306431
611	0.00024775
610.5	0.000308115
610	0.000159699
609.5	0.000208553
609	0.000544015
608.5	7.35E-06
608	0.000293563
607.5	0.000135059
607	0.000192322
606.5	0.000136236
606	-2.42E-05
605.5	0.000259449
605	7.38E-05
604.5	0.000192486
604	0.000264783
603.5	0.0002686
603	9.54E-05
602.5	7.39E-05
602	0.000101458
601.5	0.000206941
601	0.000215557
600.5	0.000247007
600	0.000254776
599.5	0.000189792
599	0.000417372
598.5	0.000328813
598	0.00023676
597.5	0.000238673
597	0.000309163
596.5	5.46E-05
596	0.000234706
595.5	0.00026021
595	6.21E-05
594.5	0.000312972
594	0.000207918
593.5	0.000103499
593	9.21E-05
592.5	0.000266072
592	0.000288973
591.5	0.000242676
591	-0.000114793
590.5	0.000443852
590	0.000214715
589.5	0.000364689
589	0.000336892
588.5	0.000350669
588	-0.00025964
587.5	0.000288955
587	-0.000147478
586.5	0.000296061
586	0.000283448
585.5	0.000141811
585	0.000105493
584.5	0.00032576
584	9.01E-05
583.5	0.000170639
583	0.000197693
582.5	0.000492185
582	7.89E-05
581.5	0.00030295
581	0.00035587
580.5	0.000132222
580	0.00040185
579.5	0.000701043
579	-0.00024582
578.5	0.00028782
578	0.000324597
577.5	0.000324508
577	7.81E-05
576.5	0.000430782
576	0.000301124
575.5	-0.000120759
575	0.000344802
574.5	0.00034445
574	-0.0002154
573.5	0.000119888
573	0.000228124
572.5	0.000217348
572	0.000144679
571.5	0.000389996
571	9.92E-05
570.5	0.00017768
570	0.000375444
569.5	0.000108673
569	1.41E-05
568.5	9.88E-05
568	0.000279301
567.5	0.000334647
567	0.000265181
566.5	0.000242819
566	0.00025323
565.5	0.000378599
565	0.000195595
564.5	0.000174157
564	0.000241477
563.5	0.000267075
563	0.000225055
562.5	6.80E-05
562	0.000299742
561.5	0.000146914
561	0.000347601
560.5	0.000178709
560	-3.61E-06
559.5	0.000218069
559	0.000352027
558.5	0.000230275
558	0.000383577
557.5	0.000174975
557	0.000362943
556.5	0.000437635
556	0.000402729
555.5	0.000246329
555	0.000227892
554.5	0.000199082
554	0.00021597
553.5	0.000411838
553	0.000352873
552.5	0.000250708
552	0.000196437
551.5	0.00046429
551	0.000458187
550.5	0.000509465
550	0.000308203
549.5	0.000423661
549	0.000681018
548.5	0.000889772
548	0.001059553
547.5	0.001526551
547	0.001884941
546.5	0.003199494
546	0.004911658
545.5	0.00758945
545	0.01292215
544.5	0.022145005
544	0.039101891
543.5	0.073565558
543	0.144645691
542.5	0.297717243
542	0.649904132
541.5	1.58255899
541	4.046185493
540.5	10.86558437
540	26.90538406
539.5	52.05371475
539	77.67022705
538.5	92.29389954
538	96.1580658
537.5	96.27994537
