Typical Measured Spectrum of Semrock LL01-488 Optical Filter	
For wavelengths between 320 and 1120 nm, values near or below 3e-7 (Optical Density 6.5) are measurement noise limited.
For wavelengths < 320 nm and > 1120 nm, values near or below 3e-6 (Optical Density 5.5) are measurement noise limited. 
Data format:  Wavelength (nm) <tab> Transmission (0 to 1)
452.2	3.0705e-08
452.4	2.6763e-08
452.6	2.6687e-08
452.8	2.6608e-08
453.0	2.652e-08
453.2	2.6431e-08
453.4	2.6381e-08
453.6	2.6342e-08
453.8	2.6272e-08
454.0	2.6187e-08
454.2	2.6104e-08
454.4	2.6025e-08
454.6	2.5946e-08
454.8	2.5887e-08
455.0	2.584e-08
455.2	3.232e-08
455.4	4.9781e-08
455.6	7.6676e-08
455.8	8.5778e-08
456.0	9.5806e-08
456.2	7.4686e-08
456.4	3.8494e-08
456.6	2.5327e-08
456.8	2.5253e-08
457.0	2.5178e-08
457.2	4.5509e-08
457.4	9.2126e-08
457.6	1.1484e-07
457.8	4.8654e-08
458.0	2.8077e-08
458.2	4.8461e-08
458.4	8.3645e-08
458.6	6.734e-08
458.8	3.8793e-08
459.0	2.4472e-08
459.2	2.444e-08
459.4	2.4404e-08
459.6	2.4327e-08
459.8	2.425e-08
460.0	2.418e-08
460.2	2.4116e-08
460.4	2.4133e-08
460.6	3.3642e-08
460.8	4.6897e-08
461.0	3.709e-08
461.2	2.811e-08
461.4	2.6533e-08
461.6	3.4812e-08
461.8	4.5675e-08
462.0	3.5536e-08
462.2	2.566e-08
462.4	2.8808e-08
462.6	3.7768e-08
462.8	5.0446e-08
463.0	7.2272e-08
463.2	1.0354e-07
463.4	8.5725e-08
463.6	5.5155e-08
463.8	4.6153e-08
464.0	4.6016e-08
464.2	4.4945e-08
464.4	3.4057e-08
464.6	2.5806e-08
464.8	2.2723e-08
465.0	2.2681e-08
465.2	2.2626e-08
465.4	2.2556e-08
465.6	2.2487e-08
465.8	2.2412e-08
466.0	2.2336e-08
466.2	2.2274e-08
466.4	2.2233e-08
466.6	2.2179e-08
466.8	2.2096e-08
467.0	2.2014e-08
467.2	2.1943e-08
467.4	2.1876e-08
467.6	2.5934e-08
467.8	5.0343e-08
468.0	7.8992e-08
468.2	4.5445e-08
468.4	2.6145e-08
468.6	2.1493e-08
468.8	2.1412e-08
469.0	2.134e-08
469.2	2.1329e-08
469.4	2.1316e-08
469.6	2.125e-08
469.8	2.1183e-08
470.0	2.1108e-08
470.2	2.1024e-08
470.4	2.0941e-08
470.6	2.921e-08
470.8	4.1024e-08
471.0	4.8417e-08
471.2	5.6622e-08
471.4	5.1429e-08
471.6	3.3185e-08
471.8	2.1413e-08
472.0	2.0418e-08
472.2	2.0382e-08
472.4	3.4153e-08
472.6	6.437e-08
472.8	9.5092e-08
473.0	7.7371e-08
473.2	6.2953e-08
473.4	5.9884e-08
