Typical Measured Spectrum of Semrock FF01-537/26 Optical Filter	
For wavelengths between 320 and 1120 nm, values near or below 3e-7 (Optical Density 6.5) are measurement noise limited.
For wavelengths < 320 nm and > 1120 nm, values near or below 3e-6 (Optical Density 5.5) are measurement noise limited. 
Data format:  Wavelength (nm) <tab> Transmission (0 to 1)
474.8	5.8382e-08
475.0	4.1656e-08
475.2	4.1679e-08
475.4	5.0862e-08
475.6	6.1183e-08
475.8	6.5517e-08
476.0	7.0159e-08
476.2	5.9203e-08
476.4	4.2189e-08
476.6	4.141e-08
476.8	5.4302e-08
477.0	7.1206e-08
477.2	6.5967e-08
477.4	6.1112e-08
477.6	4.0354e-08
477.8	1.8465e-08
478.0	1.5675e-08
478.2	3.1803e-08
478.4	6.4523e-08
478.6	3.6645e-08
478.8	1.7925e-08
479.0	1.1454e-08
479.2	1.1426e-08
479.4	1.3041e-08
479.6	2.0088e-08
479.8	3.0942e-08
480.0	2.3949e-08
480.2	1.5437e-08
480.4	1.117e-08
480.6	1.1141e-08
480.8	1.2329e-08
481.0	1.8963e-08
481.2	2.9167e-08
481.4	2.4075e-08
481.6	1.5505e-08
481.8	1.0874e-08
482.0	1.0844e-08
482.2	1.1191e-08
482.4	1.468e-08
482.6	1.9258e-08
482.8	2.7831e-08
483.0	4.2846e-08
483.2	6.0765e-08
483.4	3.5622e-08
483.6	2.1294e-08
483.8	4.5837e-08
484.0	9.867e-08
484.2	8.715e-08
484.4	3.0456e-08
484.6	1.0643e-08
484.8	1.0284e-08
485.0	1.0255e-08
485.2	1.0213e-08
485.4	1.0171e-08
485.6	1.4933e-08
485.8	3.7077e-08
486.0	9.2058e-08
486.2	8.0057e-08
486.4	6.2361e-08
486.6	6.2738e-08
486.8	6.639e-08
487.0	7.112e-08
487.2	7.8245e-08
487.4	8.6082e-08
487.6	7.9612e-08
487.8	7.0306e-08
488.0	6.1471e-08
488.2	5.3538e-08
488.4	4.9195e-08
488.6	5.6012e-08
488.8	6.3774e-08
489.0	5.0223e-08
489.2	3.3253e-08
489.4	3.8681e-08
489.6	6.4512e-08
489.8	9.4281e-08
490.0	3.6244e-08
490.2	1.3933e-08
490.4	1.1196e-08
490.6	1.569e-08
490.8	1.996e-08
491.0	2.3346e-08
491.2	2.7452e-08
491.4	4.5773e-08
491.6	7.6321e-08
491.8	5.5744e-08
492.0	1.754e-08
492.2	1.1602e-08
492.4	2.1873e-08
492.6	4.1236e-08
492.8	2.4799e-08
493.0	1.3043e-08
493.2	1.3766e-08
493.4	4.6386e-08
493.6	8.1876e-08
493.8	4.004e-08
494.0	1.9581e-08
494.2	2.4406e-08
