Typical Measured Spectrum of Semrock FF511-Di01 Optical Filter	
For wavelengths between 320 and 1120 nm, values near or below 3e-7 (Optical Density 6.5) are measurement noise limited.
For wavelengths < 320 nm and > 1120 nm, values near or below 3e-6 (Optical Density 5.5) are measurement noise limited. 
Data format:  Wavelength (nm) <tab> Transmission (0 to 1)
501.0	0.07676
501.2	0.08091
501.4	0.08553
501.6	0.09034
501.8	0.09564
502.0	0.10141
502.2	0.10739
502.4	0.11376
502.6	0.12064
502.8	0.12792
503.0	0.13571
503.2	0.14336
503.4	0.15228
503.6	0.1619
503.8	0.1723
504.0	0.18269
504.2	0.19356
504.4	0.20489
504.6	0.21661
504.8	0.22911
505.0	0.24244
505.2	0.25584
505.4	0.26993
505.6	0.28411
505.8	0.29777
506.0	0.3114
506.2	0.32576
506.4	0.33937
506.6	0.35354
506.8	0.36734
507.0	0.3795
507.2	0.39284
507.4	0.40652
507.6	0.41821
507.8	0.42797
508.0	0.43867
508.2	0.44968
508.4	0.45958
508.6	0.46917
508.8	0.47818
509.0	0.48606
509.2	0.49679
509.4	0.50665
509.6	0.51568
509.8	0.52627
510.0	0.53588
510.2	0.54796
510.4	0.55875
510.6	0.57192
510.8	0.58515
511.0	0.60053
511.2	0.61685
511.4	0.63588
511.6	0.65446
511.8	0.67249
512.0	0.69158
512.2	0.71406
512.4	0.73566
512.6	0.7595
512.8	0.7809
513.0	0.80253
513.2	0.8243
513.4	0.84427
513.6	0.86309
513.8	0.8786
514.0	0.89421
514.2	0.9087
514.4	0.9209
514.6	0.93139
514.8	0.93895
515.0	0.94303
515.2	0.94907
515.4	0.95005
515.6	0.95191
515.8	0.95443
516.0	0.95698
516.2	0.95573
516.4	0.95317
516.6	0.95177
516.8	0.95024
517.0	0.94918
517.2	0.94803
517.4	0.94775
517.6	0.94625
517.8	0.94581
518.0	0.9434
518.2	0.94441
518.4	0.94356
518.6	0.944
518.8	0.9451
519.0	0.94585
519.2	0.94549
519.4	0.94682
519.6	0.94678
519.8	0.94571
520.0	0.94642
520.2	0.94811
520.4	0.94964
520.6	0.94954
520.8	0.95143
521.0	0.9515
521.2	0.95408
521.4	0.9549
521.6	0.95666
521.8	0.95831
522.0	0.95928
522.2	0.96006
522.4	0.95885
522.6	0.95999
522.8	0.95941
523.0	0.95977
523.2	0.95905
523.4	0.96015
523.6	0.96008
523.8	0.95971
524.0	0.96115
524.2	0.96031
524.4	0.96176
524.6	0.95914
524.8	0.95881
525.0	0.96066
525.2	0.96012
525.4	0.95833
525.6	0.95992
525.8	0.96121
526.0	0.96081
526.2	0.96236
526.4	0.96185
526.6	0.96291
526.8	0.96413
527.0	0.96272
527.2	0.96327
527.4	0.96189
527.6	0.9623
527.8	0.96149
528.0	0.96499
528.2	0.96415
528.4	0.96351
528.6	0.96295
528.8	0.96484
529.0	0.96555
529.2	0.96637
529.4	0.96601
529.6	0.9658
529.8	0.96607
530.0	0.96504
530.2	0.96669
530.4	0.96707
530.6	0.96673
530.8	0.97125
531.0	0.97106
531.2	0.97153
531.4	0.9715
531.6	0.97265
531.8	0.9706
532.0	0.97133
532.2	0.97218
532.4	0.97285
532.6	0.97467
532.8	0.97468
533.0	0.97472
533.2	0.97489
533.4	0.97225
533.6	0.9724
533.8	0.97319
534.0	0.97201
534.2	0.96985
534.4	0.9698
534.6	0.96811
534.8	0.96911
535.0	0.96849
535.2	0.96653
535.4	0.96614
535.6	0.96633
535.8	0.96491
536.0	0.96461
536.2	0.96471
536.4	0.9652
536.6	0.9651
536.8	0.96298
537.0	0.96075
537.2	0.96275
537.4	0.95922
537.6	0.95672
537.8	0.95557
538.0	0.95821
538.2	0.95871
538.4	0.95867
538.6	0.95869
538.8	0.95792
539.0	0.96025
539.2	0.95821
539.4	0.95716
539.6	0.95855
539.8	0.95641
540.0	0.95604
540.2	0.95371
540.4	0.95453
540.6	0.95453
540.8	0.95436
541.0	0.95434
541.2	0.95592
541.4	0.95728
541.6	0.95739
541.8	0.95748
542.0	0.95779
542.2	0.95809
542.4	0.95737
542.6	0.95643
542.8	0.95643
543.0	0.95997
543.2	0.96075
543.4	0.95992
543.6	0.9613
543.8	0.96265
544.0	0.96263
544.2	0.96358
544.4	0.96348
544.6	0.9642
544.8	0.96188
545.0	0.96303
545.2	0.96327
545.4	0.96139
545.6	0.96185
545.8	0.96354
546.0	0.96163
546.2	0.9608
546.4	0.96068
546.6	0.9601
546.8	0.96124
547.0	0.96057
547.2	0.95992
547.4	0.95863
547.6	0.95997
547.8	0.95839
548.0	0.95933
548.2	0.96001
548.4	0.95993
548.6	0.95983
548.8	0.96072
549.0	0.95921
549.2	0.95918
549.4	0.95928
549.6	0.95922
549.8	0.95956
550.0	0.95745
550.2	0.9578
550.4	0.95782
550.6	0.95849
550.8	0.95956
551.0	0.9588
551.2	0.95906
551.4	0.95679
551.6	0.95456
551.8	0.95575
552.0	0.95624
552.2	0.95672
552.4	0.95555
552.6	0.95634
552.8	0.95751
553.0	0.95883
553.2	0.9584
553.4	0.95913
553.6	0.95667
553.8	0.95552
554.0	0.95762
554.2	0.95723
554.4	0.95778
554.6	0.95902
554.8	0.96011
555.0	0.9595
555.2	0.95865
555.4	0.96018
555.6	0.9627
555.8	0.9625
556.0	0.96297
556.2	0.9642
556.4	0.9642
556.6	0.96463
556.8	0.96308
557.0	0.96314
557.2	0.96637
557.4	0.96707
557.6	0.96674
557.8	0.96818
558.0	0.96714
558.2	0.96667
558.4	0.96755
558.6	0.96765
558.8	0.96742
559.0	0.97028
559.2	0.96813
559.4	0.97088
559.6	0.97207
559.8	0.97091
560.0	0.97102
560.2	0.97418
560.4	0.97388
560.6	0.97292
560.8	0.97301
561.0	0.97613
561.2	0.97496
561.4	0.97397
561.6	0.97332
561.8	0.97489
562.0	0.97306
562.2	0.97018
562.4	0.97217
562.6	0.9726
562.8	0.97164
563.0	0.97178
563.2	0.9727
563.4	0.97185
563.6	0.97262
563.8	0.97261
564.0	0.973
564.2	0.97141
564.4	0.97157
564.6	0.96864
564.8	0.96661
565.0	0.9674
565.2	0.9682
565.4	0.96728
565.6	0.96854
565.8	0.96711
566.0	0.96618
566.2	0.96687
566.4	0.96717
566.6	0.9674
566.8	0.96601
567.0	0.96582
567.2	0.96507
567.4	0.96486
567.6	0.96521
567.8	0.96539
568.0	0.96474
568.2	0.96496
568.4	0.96399
568.6	0.9636
568.8	0.9629
569.0	0.96108
569.2	0.96121
569.4	0.96403
569.6	0.96309
569.8	0.96247
570.0	0.96525
570.2	0.96551
570.4	0.96323
570.6	0.96339
570.8	0.96339
571.0	0.96432
571.2	0.96717
571.4	0.9654
571.6	0.96467
571.8	0.96355
572.0	0.96558
