Wavelength (nm)	%T
505	53.8931
505.2	54.7655
505.5	55.7513
505.8	56.8723
506	58.1526
506.2	59.6175
506.5	61.2919
506.8	63.1981
507	65.3513
507.2	67.7551
507.5	70.3951
507.8	73.2336
508	76.205
508.2	79.2167
508.5	82.1549
508.8	84.8977
509	87.332
509.2	89.3709
509.5	90.9656
509.8	92.1088
510	92.8305
510.2	93.1866
510.5	93.2473
510.8	93.0859
511	92.771
511.2	92.3621
511.5	91.9077
511.8	91.4454
512	91.0032
512.2	90.6009
512.5	90.2518
512.8	89.9638
513	89.7412
513.2	89.5853
513.5	89.495
513.8	89.4678
514	89.4999
514.2	89.5866
514.5	89.7226
514.8	89.9021
515	90.1189
515.2	90.3668
515.5	90.6393
515.8	90.9298
516	91.2319
516.2	91.5393
516.5	91.8461
516.8	92.1466
517	92.4356
517.2	92.7083
517.5	92.9607
517.8	93.1892
518	93.3911
518.2	93.5643
518.5	93.7075
518.8	93.8199
519	93.9015
519.2	93.9531
519.5	93.9757
519.8	93.971
520	93.9411
520.2	93.8883
520.5	93.8153
520.8	93.7247
521	93.6194
521.2	93.5023
521.5	93.3763
521.8	93.2439
522	93.1079
522.2	92.9707
522.5	92.8344
522.8	92.7013
523	92.573
523.2	92.4512
523.5	92.3373
523.8	92.2325
524	92.1377
524.2	92.0537
524.5	91.9809
524.8	91.9199
525	91.8706
525.2	91.8333
525.5	91.8076
525.8	91.7933
526	91.79
526.2	91.7972
526.5	91.8142
526.8	91.8402
527	91.8745
527.2	91.9162
527.5	91.9643
527.8	92.0178
528	92.0759
528.2	92.1374
528.5	92.2015
528.8	92.267
529	92.3331
529.2	92.3989
529.5	92.4634
529.8	92.526
530	92.5858
530.2	92.6423
530.5	92.6948
530.8	92.743
531	92.7863
531.2	92.8246
531.5	92.8576
531.8	92.8853
532	92.9075
532.2	92.9244
532.5	92.9361
532.8	92.9427
533	92.9447
533.2	92.9422
533.5	92.9357
533.8	92.9255
534	92.9122
534.2	92.8961
534.5	92.8779
534.8	92.8579
535	92.8366
535.2	92.8146
535.5	92.7923
535.8	92.7702
536	92.7487
536.2	92.7282
536.5	92.7092
536.8	92.6919
537	92.6768
537.2	92.664
537.5	92.6538
537.8	92.6465
538	92.6422
538.2	92.641
538.5	92.643
538.8	92.6483
539	92.6568
539.2	92.6686
539.5	92.6836
539.8	92.7016
540	92.7226
540.2	92.7463
540.5	92.7726
540.8	92.8013
541	92.832
541.2	92.8646
541.5	92.8987
541.8	92.934
542	92.9702
542.2	93.007
542.5	93.0439
542.8	93.0808
543	93.1172
543.2	93.1529
543.5	93.1874
543.8	93.2204
544	93.2518
544.2	93.2811
544.5	93.3081
544.8	93.3326
545	93.3544
545.2	93.3733
545.5	93.3891
545.8	93.4017
546	93.411
546.2	93.417
546.5	93.4196
546.8	93.4188
547	93.4148
547.2	93.4074
547.5	93.397
547.8	93.3835
548	93.3672
548.2	93.3481
548.5	93.3266
548.8	93.3028
549	93.277
549.2	93.2494
549.5	93.2203
549.8	93.1899
550	93.1585
550.2	93.1265
550.5	93.0941
550.8	93.0615
551	93.029
551.2	92.9967
551.5	92.9651
551.8	92.9342
552	92.9044
552.2	92.8758
552.5	92.8486
552.8	92.8231
553	92.7992
553.2	92.7773
553.5	92.7573
553.8	92.7395
554	92.7239
554.2	92.7105
554.5	92.6994
554.8	92.6906
555	92.6841
555.2	92.6799
555.5	92.678
555.8	92.6784
556	92.6809
556.2	92.6854
556.5	92.692
556.8	92.7004
557	92.7106
557.2	92.7224
557.5	92.7356
557.8	92.7502
558	92.7659
558.2	92.7826
558.5	92.8001
558.8	92.8182
559	92.8368
559.2	92.8556
559.5	92.8745
559.8	92.8933
560	92.9118
560.2	92.9298
560.5	92.9471
560.8	92.9636
561	92.9792
561.2	92.9936
561.5	93.0068
561.8	93.0186
562	93.0289
562.2	93.0376
562.5	93.0446
562.8	93.0499
563	93.0533
563.2	93.0549
563.5	93.0547
563.8	93.0525
564	93.0485
564.2	93.0427
564.5	93.035
564.8	93.0256
565	93.0146
565.2	93.0019
